replicate_id,motion_seed,fault_seed,scenario_id,method,requests,accepted,true_accepts,false_accepts,true_rejects,false_rejects,enclosures_tested,containment_failures
24,6139046086183888228,14083375203537085938,1,0,100,95,95,0,0,5,0,0
24,6139046086183888228,14083375203537085938,1,1,100,0,0,0,0,100,0,0
24,6139046086183888228,14083375203537085938,1,2,100,0,0,0,0,100,0,0
25,14852878865191795913,6500647822702932299,1,0,100,95,95,0,0,5,0,0
25,14852878865191795913,6500647822702932299,1,1,100,0,0,0,0,100,0,0
25,14852878865191795913,6500647822702932299,1,2,100,0,0,0,0,100,0,0
26,10759014571150830798,17207097155785889920,1,0,100,95,95,0,0,5,0,0
26,10759014571150830798,17207097155785889920,1,1,100,0,0,0,0,100,0,0
26,10759014571150830798,17207097155785889920,1,2,100,0,0,0,0,100,0,0
27,3714909113697100947,4685510044147174233,1,0,100,95,95,0,0,5,0,0
27,3714909113697100947,4685510044147174233,1,1,100,0,0,0,0,100,0,0
27,3714909113697100947,4685510044147174233,1,2,100,0,0,0,0,100,0,0
28,15638994699027385520,9137866163818454334,1,0,100,95,95,0,0,5,0,0
28,15638994699027385520,9137866163818454334,1,1,100,0,0,0,0,100,0,0
28,15638994699027385520,9137866163818454334,1,2,100,0,0,0,0,100,0,0
29,10786533052122665045,7439539797724534983,1,0,100,95,95,0,0,5,0,0
29,10786533052122665045,7439539797724534983,1,1,100,0,0,0,0,100,0,0
29,10786533052122665045,7439539797724534983,1,2,100,0,0,0,0,100,0,0
30,17411780308251417786,16100627371334448364,1,0,100,95,95,0,0,5,0,0
30,17411780308251417786,16100627371334448364,1,1,100,0,0,0,0,100,0,0
30,17411780308251417786,16100627371334448364,1,2,100,0,0,0,0,100,0,0
31,14960714582419432383,11111178172660828405,1,0,100,95,95,0,0,5,0,0
31,14960714582419432383,11111178172660828405,1,1,100,0,0,0,0,100,0,0
31,14960714582419432383,11111178172660828405,1,2,100,0,0,0,0,100,0,0
32,10781159969224193356,4388121916704492074,1,0,100,95,95,0,0,5,0,0
32,10781159969224193356,4388121916704492074,1,1,100,0,0,0,0,100,0,0
32,10781159969224193356,4388121916704492074,1,2,100,0,0,0,0,100,0,0
33,11728230447752747985,14774688308459484707,1,0,100,95,95,0,0,5,0,0
33,11728230447752747985,14774688308459484707,1,1,100,0,0,0,0,100,0,0
33,11728230447752747985,14774688308459484707,1,2,100,0,0,0,0,100,0,0
34,8945314669155935606,6947757802794718968,1,0,100,95,95,0,0,5,0,0
34,8945314669155935606,6947757802794718968,1,1,100,0,0,0,0,100,0,0
34,8945314669155935606,6947757802794718968,1,2,100,0,0,0,0,100,0,0
35,227496352486774043,6948221631382903793,1,0,100,95,95,0,0,5,0,0
35,227496352486774043,6948221631382903793,1,1,100,0,0,0,0,100,0,0
35,227496352486774043,6948221631382903793,1,2,100,0,0,0,0,100,0,0
36,10407102038042272184,3899319652362901686,1,0,100,95,95,0,0,5,0,0
36,10407102038042272184,3899319652362901686,1,1,100,0,0,0,0,100,0,0
36,10407102038042272184,3899319652362901686,1,2,100,0,0,0,0,100,0,0
37,4267529692386032381,2850730510165501151,1,0,100,95,95,0,0,5,0,0
37,4267529692386032381,2850730510165501151,1,1,100,0,0,0,0,100,0,0
37,4267529692386032381,2850730510165501151,1,2,100,0,0,0,0,100,0,0
38,8494821390787606338,8259303334862297892,1,0,100,95,95,0,0,5,0,0
38,8494821390787606338,8259303334862297892,1,1,100,0,0,0,0,100,0,0
38,8494821390787606338,8259303334862297892,1,2,100,0,0,0,0,100,0,0
39,6910402922770238631,16760085229008655309,1,0,100,95,95,0,0,5,0,0
39,6910402922770238631,16760085229008655309,1,1,100,0,0,0,0,100,0,0
39,6910402922770238631,16760085229008655309,1,2,100,0,0,0,0,100,0,0
40,4008714893987389780,15700102176196617890,1,0,100,95,95,0,0,5,0,0
40,4008714893987389780,15700102176196617890,1,1,100,0,0,0,0,100,0,0
40,4008714893987389780,15700102176196617890,1,2,100,0,0,0,0,100,0,0
41,8362665835234397177,412145058200477819,1,0,100,95,95,0,0,5,0,0
41,8362665835234397177,412145058200477819,1,1,100,0,0,0,0,100,0,0
41,8362665835234397177,412145058200477819,1,2,100,0,0,0,0,100,0,0
42,3400424375343960062,12729455287224371888,1,0,100,95,95,0,0,5,0,0
42,3400424375343960062,12729455287224371888,1,1,100,0,0,0,0,100,0,0
42,3400424375343960062,12729455287224371888,1,2,100,0,0,0,0,100,0,0
43,4619782524672878147,9133398289041131593,1,0,100,95,95,0,0,5,0,0
43,4619782524672878147,9133398289041131593,1,1,100,0,0,0,0,100,0,0
43,4619782524672878147,9133398289041131593,1,2,100,0,0,0,0,100,0,0
44,5885750343499270368,9071482934718060398,1,0,100,95,95,0,0,5,0,0
44,5885750343499270368,9071482934718060398,1,1,100,0,0,0,0,100,0,0
44,5885750343499270368,9071482934718060398,1,2,100,0,0,0,0,100,0,0
45,12196532709613882821,14335553732308469047,1,0,100,95,95,0,0,5,0,0
45,12196532709613882821,14335553732308469047,1,1,100,0,0,0,0,100,0,0
45,12196532709613882821,14335553732308469047,1,2,100,0,0,0,0,100,0,0
46,3734636061985099818,6817634388215369564,1,0,100,95,95,0,0,5,0,0
46,3734636061985099818,6817634388215369564,1,1,100,0,0,0,0,100,0,0
46,3734636061985099818,6817634388215369564,1,2,100,0,0,0,0,100,0,0
47,12467931653091690479,9841015047467025509,1,0,100,95,95,0,0,5,0,0
47,12467931653091690479,9841015047467025509,1,1,100,0,0,0,0,100,0,0
47,12467931653091690479,9841015047467025509,1,2,100,0,0,0,0,100,0,0
48,8904377412729884668,1123917440079041306,1,0,100,95,95,0,0,5,0,0
48,8904377412729884668,1123917440079041306,1,1,100,0,0,0,0,100,0,0
48,8904377412729884668,1123917440079041306,1,2,100,0,0,0,0,100,0,0
49,17446664036809962113,5620477619774011923,1,0,100,95,95,0,0,5,0,0
49,17446664036809962113,5620477619774011923,1,1,100,0,0,0,0,100,0,0
49,17446664036809962113,5620477619774011923,1,2,100,0,0,0,0,100,0,0
0,16810207103304354796,7122639740758630782,2,0,100,99,99,0,0,1,0,0
0,16810207103304354796,7122639740758630782,2,1,100,99,99,0,0,1,0,0
0,16810207103304354796,7122639740758630782,2,2,100,99,99,0,0,1,297,0
1,4668941500697059185,5118876281129063487,2,0,100,99,99,0,0,1,0,0
1,4668941500697059185,5118876281129063487,2,1,100,99,99,0,0,1,0,0
1,4668941500697059185,5118876281129063487,2,2,100,99,99,0,0,1,297,0
2,16320440670712453270,4755352453512013436,2,0,100,99,99,0,0,1,0,0
2,16320440670712453270,4755352453512013436,2,1,100,99,99,0,0,1,0,0
